experiment_id,transformer_id,model,split_method,feature_mode,test_ratio,n_features,n_train,n_test,train_time,R2,MAE,MSE,RMSE,lookback,horizon,gap,lookback_multiplier,status,error_message
exp_001,1,RandomForest,chronological,full,,,52449,13113,3.03,-4.9469,7.2694,,8.2638,,,,,success,
exp_002,1,RandomForest,random_window,full,,,32000,8000,7.51,0.9310,1.3415,,2.0010,,,,,success,
exp_003,1,RandomForest,group_random,full,,,32000,8000,6.92,-0.5445,7.5184,,8.7984,,,,,success,
exp_004,1,RandomForest,random_window,full,,,32000,8000,7.46,0.9266,1.5023,,2.2469,,,,,success,
exp_005,1,RandomForest,random_window,full,,,32000,8000,7.34,0.9298,1.3321,,1.9746,,,,,success,
exp_006,1,RandomForest,random_window,full,,,32000,8000,7.16,0.9310,1.3415,,2.0010,,,,,success,
exp_007,1,RandomForest,random_window,full,,,32000,8000,7.17,0.9310,1.3415,,2.0010,,,,,success,
exp_008,1,RandomForest,random_window,no_time,,,32000,8000,3.96,0.2415,5.2454,,6.6332,,,,,success,
exp_009,1,RandomForest,random_window,time_only,,,32000,8000,2.71,0.8456,2.2337,,2.9925,,,,,success,
exp_010,1,RandomForest,random_window,full,,,32000,8000,3.65,0.9333,1.3192,,1.9822,,,,,success,
exp_011,1,RandomForest,random_window,full,,,32000,8000,6.83,0.9311,1.3394,,1.9988,,,,,success,
exp_012,1,RandomForest,random_window,full,,,32000,8000,10.09,0.9338,1.3262,,1.9656,,,,,success,
exp_013,1,RandomForest,random_window,full,,,32000,8000,191.26,0.9599,1.0775,,1.5239,,,,,success,
exp_014,1,RandomForest,random_window,full,,,32000,8000,190.21,0.9599,1.0775,,1.5239,,,,,success,
exp_015,1,RandomForest,random_window,full,,,32000,8000,193.74,0.9599,1.0775,,1.5239,,,,,success,
exp_016,1,RandomForest,random_window,full,,,32000,8000,634.41,0.9688,0.9513,,1.3291,,,,,success,
exp_017,1,RandomForest,random_window,full,,,32000,8000,1287.39,0.9767,0.8282,,1.1383,,,,,success,
exp_018,1,RandomForest,random_window,full,,,32000,8000,1989.30,0.9816,0.7248,,0.9873,,,,,success,
exp_019,2,RandomForest,random_window,full,,,32000,8000,2.02,0.9693,1.4810,,2.0924,,,,,success,
exp_020,2,RandomForest,random_window,full,,,32000,8000,3.89,0.9648,1.5921,,2.2392,,,,,success,
exp_021,2,RandomForest,random_window,full,,,32000,8000,5.64,0.9674,1.5614,,2.1521,,,,,success,
exp_022,2,RandomForest,random_window,full,,,32000,8000,46.51,0.9660,1.5295,,2.1641,,,,,success,
exp_023,2,RandomForest,random_window,full,,,32000,8000,93.75,0.9667,1.5429,,2.1620,,,,,success,
exp_024,2,RandomForest,random_window,full,,,32000,8000,146.77,0.9686,1.4980,,2.1167,,,,,success,
exp_025,2,RandomForest,random_window,full,,,32000,8000,360.45,0.9613,1.7120,,2.3345,,,,,success,
exp_026,2,RandomForest,random_window,full,,,32000,8000,746.96,0.9697,1.5339,,2.0747,,,,,success,
exp_027,2,RandomForest,random_window,full,,,32000,8000,1161.60,0.9733,1.4515,,1.9525,,,,,success,
exp_028,1,MLP,random_window,full,,,32000,8000,31.42,0.8415,2.2679,,3.0560,,,,,success,
exp_029,1,MLP,random_window,full,,,32000,8000,50.85,0.8705,1.9768,,2.7411,,,,,success,
exp_030,1,MLP,random_window,full,,,32000,8000,50.01,0.8656,2.0468,,2.8007,,,,,success,
exp_031,1,MLP,random_window,full,,,32000,8000,28.79,0.8713,2.0573,,2.7366,,,,,success,
exp_032,1,MLP,random_window,full,,,32000,8000,56.34,0.9305,1.4938,,2.0059,,,,,success,
exp_033,1,MLP,random_window,full,,,32000,8000,35.22,0.9131,1.6620,,2.2355,,,,,success,
exp_034,1,MLP,random_window,full,,,32000,8000,47.02,0.9400,1.3998,,1.8435,,,,,success,
exp_035,1,MLP,random_window,full,,,32000,8000,62.83,0.9214,1.5611,,2.0924,,,,,success,
exp_036,1,MLP,random_window,full,,,32000,8000,70.31,0.9484,1.2321,,1.6553,,,,,success,
exp_037,2,MLP,random_window,full,,,32000,8000,51.38,0.9184,2.5217,,3.4130,,,,,success,
exp_038,2,MLP,random_window,full,,,32000,8000,62.00,0.9345,2.2861,,3.0550,,,,,success,
exp_039,2,MLP,random_window,full,,,32000,8000,62.10,0.9303,2.3740,,3.1483,,,,,success,
exp_040,2,MLP,random_window,full,,,32000,8000,44.75,0.9227,2.4960,,3.2619,,,,,success,
exp_041,2,MLP,random_window,full,,,32000,8000,63.41,0.9349,2.2637,,3.0242,,,,,success,
exp_042,2,MLP,random_window,full,,,32000,8000,45.65,0.9346,2.3164,,3.0530,,,,,success,
exp_043,2,MLP,random_window,full,,,32000,8000,43.40,0.9284,2.4152,,3.1774,,,,,success,
exp_044,2,MLP,random_window,full,,,32000,8000,75.69,0.9426,2.1549,,2.8566,,,,,success,
exp_045,2,MLP,random_window,full,,,32000,8000,58.12,0.9450,2.0865,,2.8027,,,,,success,
exp_046,1,RNN,random_window,full,,,32000,8000,136.23,0.8176,2.4212,,3.2784,,,,,success,
exp_047,1,RNN,random_window,full,,,32000,8000,72.15,0.7875,2.5997,,3.5111,,,,,success,
exp_048,1,RNN,random_window,full,,,32000,8000,133.80,0.8254,2.3418,,3.1928,,,,,success,
exp_049,1,RNN,random_window,full,,,32000,8000,38.03,0.7366,3.0641,,3.9155,,,,,success,
exp_050,1,RNN,random_window,full,,,32000,8000,34.75,0.7443,2.9903,,3.8459,,,,,success,
exp_051,1,RNN,random_window,full,,,32000,8000,36.42,0.7021,3.3081,,4.1378,,,,,success,
exp_052,1,RNN,random_window,full,,,32000,8000,45.63,0.6957,3.2899,,4.1533,,,,,success,
exp_053,1,RNN,random_window,full,,,32000,8000,104.16,0.7044,3.1366,,4.0571,,,,,success,
exp_054,1,RNN,random_window,full,,,32000,8000,90.01,0.7035,2.9863,,3.9669,,,,,success,
exp_055,2,RNN,random_window,full,,,32000,8000,117.60,0.8941,3.0222,,3.8880,,,,,success,
exp_056,2,RNN,random_window,full,,,32000,8000,133.39,0.9019,2.8884,,3.7403,,,,,success,
exp_057,2,RNN,random_window,full,,,32000,8000,167.02,0.9103,2.7690,,3.5731,,,,,success,
exp_058,2,RNN,random_window,full,,,32000,8000,39.16,0.8640,3.3597,,4.3273,,,,,success,
exp_059,2,RNN,random_window,full,,,32000,8000,58.09,0.8763,3.2410,,4.1676,,,,,success,
exp_060,2,RNN,random_window,full,,,32000,8000,50.13,0.8697,3.3262,,4.3103,,,,,success,
exp_061,2,RNN,random_window,full,,,32000,8000,68.95,0.8621,3.4167,,4.4096,,,,,success,
exp_062,2,RNN,random_window,full,,,32000,8000,63.27,0.8573,3.4966,,4.5037,,,,,success,
exp_063,2,RNN,random_window,full,,,32000,8000,173.63,0.8626,3.4731,,4.4322,,,,,success,
exp_064,1,Informer,random_window,full,,,32000,8000,124.95,0.6481,3.4688,,4.5182,,,,,success,
exp_065,1,Informer,random_window,full,,,32000,8000,186.88,,,,,,,,,failed,CUDA out of memory. Tried to allocate 36.62 GiB. GPU
exp_066,1,RNN,random_window,full,,,32000,8000,103.16,0.7044,3.1366,,4.0571,,,,,success,
exp_067,2,Informer,random_window,full,,,32000,8000,119.84,0.7793,4.4184,,5.6095,,,,,success,
exp_068,2,RNN,random_window,full,,,32000,8000,69.80,0.8763,3.2410,,4.1676,,,,,success,
exp_069,2,RNN,random_window,full,,,32000,8000,69.29,0.8573,3.4966,,4.5037,,,,,success,
exp_070,1,RandomForest,random_window,time_only,,,32000,8000,2.36,0.8453,2.2389,,2.9954,,,,,success,
exp_071,1,RandomForest,chronological,time_only,,,52449,13113,0.88,-4.0505,6.5310,,7.6156,,,,,success,
exp_072,1,RandomForest,group_random,time_only,,,32000,8000,2.25,-0.5516,7.6339,,8.8186,,,,,success,
exp_073,1,RandomForest,chronological,full_6loads,,,55740,13935,14.72,-4.3593,6.9886,,7.9800,,,,,success,
exp_074,1,RandomForest,chronological,full_6loads,,,55744,13936,3.65,-4.1881,6.8336,,7.8516,,,,,success,
exp_075,1,RandomForest,chronological,full_6loads,,,55072,13768,3042.63,-4.2344,6.6761,,7.8281,,,,,success,
exp_076,2,RandomForest,chronological,full_6loads,,,55740,13935,10.98,0.6907,4.7694,,5.9505,,,,,success,
exp_077,2,RandomForest,chronological,full_6loads,,,55648,13912,287.78,0.6433,4.9733,,6.3836,,,,,success,
exp_078,2,RandomForest,chronological,full_6loads,,,55072,13768,2097.15,0.6362,4.9799,,6.3767,,,,,success,
exp_079,1,MLP,chronological,full_6loads,,,55740,13935,93.75,-3.8132,6.3470,,7.5625,,,,,success,
